text,label
"python django aws backend developer",Software Engineer
"excel accounting bookkeeping finance",Accountant
"data analysis python tableau power bi",Data Analyst
"react javascript html css frontend developer",Frontend Developer
"python flask api development backend microservices",Backend Developer
"machine learning python scikit-learn keras tensorflow",ML Engineer
"deep learning pytorch computer vision nlp",AI Engineer
"aws cloudformation terraform devops pipelines",DevOps Engineer
"agile jira scrum stakeholder requirements project planning",Project Manager
"excel tally erp gst income tax auditing",Accountant
"mongodb express node react mern stack developer",Full Stack Developer
"statistics hypothesis testing linear regression pandas",Data Scientist
"flask fastapi docker kubernetes api deployment",Backend Engineer
"prompt engineering gpt-4 langchain openai chatbot",GenAI Engineer
"tableau power bi dashboards excel pivots",BI Analyst
"linux shell scripting bash network administration",System Administrator
"copywriting email marketing seo social media",Digital Marketer
"ui ux figma adobe xd prototyping design thinking",UI/UX Designer
"recruitment onboarding hr policies payroll benefits",HR Executive
